"candidate","donorType","amount","position"
"Matt Wolfe","ideological",33131,"Council-At-Large"
"Matt Wolfe","transactional",0,"Council-At-Large"
"Marian Tasco","ideological",16920,"District 9"
"Marian Tasco","transactional",780,"District 9"
"Jannie Blackwell","ideological",150500,"District 3"
"Jannie Blackwell","transactional",14800,"District 3"
"Jim Kenney","ideological",4905199.07,"Mayor"
"Jim Kenney","transactional",193550,"Mayor"
"Darrell Clarke","ideological",189000,"District 5"
"Darrell Clarke","transactional",82050,"District 5"
"Dan Tinney","ideological",374975,"Council-At-Large"
"Dan Tinney","transactional",44750,"Council-At-Large"
"Tom Wyatt","ideological",406154.79,"Council-At-Large"
"Tom Wyatt","transactional",2000,"Council-At-Large"
"Brian O'Neill","ideological",73469.92,"District 10"
"Brian O'Neill","transactional",17400,"District 10"
"Sheila Armstrong","ideological",1500,"Council-At-Large"
"Sheila Armstrong","transactional",0,"Council-At-Large"
"Maria Quinones-Sanchez","ideological",165771.45,"District 7"
"Maria Quinones-Sanchez","transactional",40800,"District 7"
"Blondell Reynolds-Brown","ideological",269643.56,"Council-At-Large"
"Blondell Reynolds-Brown","transactional",72735,"Council-At-Large"
"David Oh","ideological",442367.27,"Council-At-Large"
"David Oh","transactional",72630,"Council-At-Large"
"Lynne Abraham","ideological",1290417.86,"Mayor"
"Lynne Abraham","transactional",31900,"Mayor"
"Wilson Alexander","ideological",11059.88,"Council-At-Large"
"Wilson Alexander","transactional",4000,"Council-At-Large"
"Kevin Strickand","ideological",5119.92,"District 9"
"Kevin Strickand","transactional",0,"District 9"
"Bobbie Curry","ideological",2,"District 9"
"Bobbie Curry","transactional",0,"District 9"
"Helen Gym","ideological",417764.61,"Council-At-Large"
"Helen Gym","transactional",11500,"Council-At-Large"
"Ori Feibush","ideological",400077,"District 2"
"Ori Feibush","transactional",1310824,"District 2"
"Al Taubenberger","ideological",135702.56,"Council-At-Large"
"Al Taubenberger","transactional",13300,"Council-At-Large"
"Cherelle Parker","ideological",236413.92,"District 9"
"Cherelle Parker","transactional",307350,"District 9"
"Andrew Stober","ideological",277949.36,"Council-At-Large"
"Andrew Stober","transactional",0,"Council-At-Large"
"Mark Squilla","ideological",293380,"District 1"
"Mark Squilla","transactional",20900,"District 1"
"Denny O'Brien","ideological",102305,"Council-At-Large"
"Denny O'Brien","transactional",49500,"Council-At-Large"
"Sherrie Cohen","ideological",257416.3,"Council-At-Large"
"Sherrie Cohen","transactional",13230,"Council-At-Large"
"Cindy Bass","ideological",68315,"District 8"
"Cindy Bass","transactional",254600,"District 8"
"Doug Oliver","ideological",77805,"Mayor"
"Doug Oliver","transactional",16000,"Mayor"
"Nelson Diaz","ideological",668630.71,"Mayor"
"Nelson Diaz","transactional",2500,"Mayor"
"Frank Rizzo","ideological",50974.31,"Council-At-Large"
"Frank Rizzo","transactional",0,"Council-At-Large"
"Jenne Ayers","ideological",48588.16,"Council-At-Large"
"Jenne Ayers","transactional",0,"Council-At-Large"
"Terrence Tracy","ideological",140170.88,"Council-At-Large"
"Terrence Tracy","transactional",0,"Council-At-Large"
"Wilson Goode","ideological",0,"Council-At-Large"
"Wilson Goode","transactional",46750,"Council-At-Large"
"Derek Green","ideological",322498.78,"Council-At-Large"
"Derek Green","transactional",56300,"Council-At-Large"
"Kristin Combs","ideological",24518.53,"Council-At-Large"
"Kristin Combs","transactional",0,"Council-At-Large"
"Curtis Jones","ideological",245971,"District 4"
"Curtis Jones","transactional",23400,"District 4"
"Ed Neilson","ideological",248083.46,"Council-At-Large"
"Ed Neilson","transactional",18000,"Council-At-Large"
"Manny Morales","ideological",21370,"District 7"
"Manny Morales","transactional",0,"District 7"
"Alan Domb","ideological",2186185.75,"Council-At-Large"
"Alan Domb","transactional",3000,"Council-At-Large"
"Ken Trujillo","ideological",50948.25,"Mayor"
"Ken Trujillo","transactional",0,"Mayor"
"Kenyatta Johnson","ideological",977094.22,"District 2"
"Kenyatta Johnson","transactional",274448.3,"District 2"
"Bill Greenlee","ideological",115446,"Council-At-Large"
"Bill Greenlee","transactional",88500,"Council-At-Large"
"Isaiah Thomas","ideological",185608.21,"Council-At-Large"
"Isaiah Thomas","transactional",45000,"Council-At-Large"
"Bobby Henon","ideological",516793.63,"District 6"
"Bobby Henon","transactional",32700,"District 6"
"Anthony Williams","ideological",1809588.1,"Mayor"
"Anthony Williams","transactional",25050,"Mayor"
"Paul Steinke","ideological",422146.74,"Council-At-Large"
"Paul Steinke","transactional",14400,"Council-At-Large"
"Melissa Murray Bailey","ideological",38577.3,"Mayor"
"Melissa Murray Bailey","transactional",0,"Mayor"
"Milton Street","ideological",11000,"Mayor"
"Milton Street","transactional",45000,"Mayor"
"Marnie Aument-Loughrey","ideological",4800,"Council-At-Large"
"Marnie Aument-Loughrey","transactional",0,"Council-At-Large"
